,flight-numb,airlines-name,price,depart-airport,arrival-airport,Dep_hour,Dep_min,Arr_hour,Arr_min,Dep_Date,Dep_Month,Dep_Year,Arr_Date,Arr_Month,Arr_Year,flight-time,plane,cabin-baggage(kg),checked-baggage(kg),rank-seat-class,seat-class-type,Total_Stops,Total_Passenger
0,VJ198,Vietjet Air,1959500.0,SGN,HAN,5,15,7,25,1,1,2024,1,1,2024,130,Airbus A320-100/200,7,0,economy ,b1_eco,1,1
1,VJ120,Vietjet Air,1959500.0,SGN,HAN,6,0,8,10,1,1,2024,1,1,2024,130,Airbus A320-100/200,7,0,economy ,b1_eco,1,1
2,VJ122,Vietjet Air,1959500.0,SGN,HAN,6,30,8,40,1,1,2024,1,1,2024,130,Airbus A321,7,0,economy ,b1_eco,1,1
3,VJ124,Vietjet Air,1959500.0,SGN,HAN,7,0,9,10,1,1,2024,1,1,2024,130,Airbus A330,7,0,economy ,b1_eco,1,1
4,VJ128,Vietjet Air,1959500.0,SGN,HAN,8,5,10,15,1,1,2024,1,1,2024,130,Airbus A321,7,0,economy ,b1_eco,1,1
5,VJ176,Vietjet Air,1959500.0,SGN,HAN,9,30,11,40,1,1,2024,1,1,2024,130,Airbus A320-100/200,7,0,economy ,b1_eco,1,1
6,VJ130,Vietjet Air,1959500.0,SGN,HAN,10,10,12,20,1,1,2024,1,1,2024,130,Airbus A321,7,0,economy ,b1_eco,1,1
7,VJ132,Vietjet Air,1959500.0,SGN,HAN,11,25,13,35,1,1,2024,1,1,2024,130,Airbus A320-100/200,7,0,economy ,b1_eco,1,1
8,VJ136,Vietjet Air,1959500.0,SGN,HAN,13,20,15,30,1,1,2024,1,1,2024,130,Airbus A330,7,0,economy ,b1_eco,1,1
9,VJ138,Vietjet Air,1959500.0,SGN,HAN,13,55,16,10,1,1,2024,1,1,2024,135,Airbus A321,7,0,economy ,b1_eco,1,1
10,VJ142,Vietjet Air,1959500.0,SGN,HAN,15,20,17,30,1,1,2024,1,1,2024,130,Airbus A321,7,0,economy ,b1_eco,1,1
11,VJ146,Vietjet Air,1959500.0,SGN,HAN,16,0,18,10,1,1,2024,1,1,2024,130,Airbus A321,7,0,economy ,b1_eco,1,1
12,VJ148,Vietjet Air,1959500.0,SGN,HAN,16,30,18,40,1,1,2024,1,1,2024,130,Airbus A321,7,0,economy ,b1_eco,1,1
13,VJ150,Vietjet Air,1959500.0,SGN,HAN,17,50,20,10,1,1,2024,1,1,2024,140,Airbus A321,7,0,economy ,b1_eco,1,1
14,VJ154,Vietjet Air,1959500.0,SGN,HAN,18,50,21,0,1,1,2024,1,1,2024,130,Airbus A321,7,0,economy ,b1_eco,1,1
15,VJ156,Vietjet Air,1959500.0,SGN,HAN,19,40,21,50,1,1,2024,1,1,2024,130,Airbus A330,7,0,economy ,b1_eco,1,1
16,VJ158,Vietjet Air,1959500.0,SGN,HAN,21,0,23,10,1,1,2024,1,1,2024,130,Airbus A321,7,0,economy ,b1_eco,1,1
17,VJ160,Vietjet Air,1959500.0,SGN,HAN,21,40,23,50,1,1,2024,1,1,2024,130,Airbus A321,7,0,economy ,b1_eco,1,1
18,VJ162,Vietjet Air,1959500.0,SGN,HAN,22,50,1,0,1,1,2024,2,1,2024,130,Airbus A321,7,0,economy ,b1_eco,1,1
19,QH202,Bamboo Airways,1969000.0,SGN,HAN,5,55,8,5,1,1,2024,1,1,2024,130,Airbus A321,7,20,economysmart ,n,1,1
20,QH290,Bamboo Airways,1969000.0,SGN,HAN,23,20,1,35,1,1,2024,2,1,2024,135,Airbus A320-100/200,7,20,economysmart ,n,1,1
21,VU780,Vietravel Airlines,2076000.0,SGN,HAN,17,45,19,55,1,1,2024,1,1,2024,130,AIRBUS A321,7,0,economy ,o,1,1
22,VJ134,Vietjet Air,2111000.0,SGN,HAN,12,55,15,5,1,1,2024,1,1,2024,130,Airbus A321,7,0,economy ,h1_eco,1,1
23,VJ140,Vietjet Air,2111000.0,SGN,HAN,14,25,16,35,1,1,2024,1,1,2024,130,Airbus A320-100/200,7,0,economy ,h1_eco,1,1
24,VJ144,Vietjet Air,2111000.0,SGN,HAN,15,30,17,40,1,1,2024,1,1,2024,130,Airbus A321,7,0,economy ,h1_eco,1,1
25,VN204,Vietnam Airlines,2127000.0,SGN,HAN,5,0,7,20,1,1,2024,1,1,2024,140,Airbus A321,12,23,economy classic ,r,1,1
26,VN206,Vietnam Airlines,2127000.0,SGN,HAN,6,0,8,10,1,1,2024,1,1,2024,130,Boeing 787,12,23,economy classic ,r,1,1
27,VN240,Vietnam Airlines,2127000.0,SGN,HAN,7,0,9,20,1,1,2024,1,1,2024,140,Airbus A350-900,12,23,economy classic ,r,1,1
